f a w n	F AO N
s e r m e r s h e i m	S ER M ER S HH AY M
s o n j i	S AO N JH IY
s c h e u r i n g	SH ER IH NG
n u n n e r y	N AH N ER IY
s o w e l l	S AA W EH L
s o n j a	S OW N Y AH
d e g u s s a	D IH G Y UW S AH
t a n g q u i	T AE NG K W IY
g a g	G AE G
c i r c u i t r y	S ER K AH T R IY
c l o t t e d	K L AA T AH D
s p i d e r s	S P AY D ER Z
g a v a n	G EY V AH N
h a n g i n g	HH AE NG IH NG
w o o d y	W UH D IY
c o m i c a l l y	K AA M IH K AH L IY
k a l m a r	K AE L M ER
l o c a l i z e d	L OW K AH L AY Z D
p h e n o t y p i c	F IY N AH T IH P IH K
d i s o b e y i n g	D IH S OW B EY IH NG
h e n n i n g s	HH EH N IH NG Z
c a n e s	K EY N Z
s p r a g u e	S P R EY G
c h a t t e r	CH AE T ER
c a n e z	K AA N EH Z
g l i s s o n	G L IH S AH N
r e f u n d i n g	R IH F AH N D IH NG
c a n e d	K EY N D
r i c k m a n	R IH K M AH N
p e t r a k	P EH T R AH K
b r o c k l i n	B R AA K L IH N
g o l d e n r o d	G OW L D AH N R AA D
p r u g h	P R UW
p i g m e n t	P IH G M AH N T
h e u b l e i n	HH Y UW B L AY N
b r o w a r d	B R AW ER D
b a r c e l l a	B AA R S EH L AH
p e t r a s	P EH T R AH Z
h i g m a n	HH IH G M AH N
d a s c e n z o	D AA S CH EH N Z OW
w o o d e d	W UH D IH D
g r u e l i n g	G R UW IH L IH NG
h a r v i l l e	HH AA R V IH L
w o o d e n	W UH D AH N
g u e r t i n	G EH R T IY N
w e d n e s d a y	W EH N Z D IY
s h c h e d r i n	SH EH D R IH N
k l o s i n s k i	K L AH S IH N S K IY
c l a u d s o n	K L AO D S AH N
t r o u t w i n e	T R AW T W AY N
c r o t c h	K R AA CH
e l g a r	EH L G ER
a m p l i f i c a t i o n s	AE M P L AH F AH K EY SH AH N Z
i m m u n i t i e s	IH M Y UW N IH T IY Z
