Survey Number,Question Number,Question Type,Algorithm,Answer
1,1,Best Portmanteau,C,E
1,2,Best Portmanteau,P,E
1,3,Best Portmanteau,C,E
1,4,Best Portmanteau,C,O
1,5,Best Portmanteau,C,E
1,6,Funniest,P,O
1,7,Funniest,C,C
1,8,Funniest,C,E
1,9,Funniest,P,E
1,10,Funniest,C,E
2,1,Best Portmanteau,P,E
2,2,Best Portmanteau,C,E
2,3,Best Portmanteau,C,E
2,4,Best Portmanteau,C,E
2,5,Best Portmanteau,C,E
2,6,Funniest,P,E
2,7,Funniest,P,E
2,8,Funniest,C,E
2,9,Funniest,C,E
2,10,Funniest,P,O
3,1,Best Portmanteau,C,C
3,2,Best Portmanteau,C,O
3,3,Best Portmanteau,C,E
3,4,Best Portmanteau,P,C
3,5,Best Portmanteau,C,O
3,6,Funniest,C,O
3,7,Funniest,C,O
3,8,Funniest,C,O
3,9,Funniest,P,O
3,10,Funniest,C,E
4,1,Best Portmanteau,P,E
4,2,Best Portmanteau,P,C
4,3,Best Portmanteau,C,E
4,4,Best Portmanteau,C,O
4,5,Best Portmanteau,P,E
4,6,Funniest,P,C
4,7,Funniest,C,E
4,8,Funniest,C,E
4,9,Funniest,P,E
4,10,Funniest,P,O
5,1,Best Portmanteau,P,C
5,2,Best Portmanteau,P,O
5,3,Best Portmanteau,P,O
5,4,Best Portmanteau,C,C
5,5,Best Portmanteau,C,O
5,6,Funniest,C,C
5,7,Funniest,P,C
5,8,Funniest,C,C
5,9,Funniest,P,O
5,10,Funniest,P,E
6,1,Best Portmanteau,P,E
6,2,Best Portmanteau,C,O
6,3,Best Portmanteau,C,C
6,4,Best Portmanteau,P,O
6,5,Best Portmanteau,P,C
6,6,Funniest,C,E
6,7,Funniest,C,O
6,8,Funniest,C,E
6,9,Funniest,P,E
6,10,Funniest,C,E
7,1,Best Portmanteau,P,C
7,2,Best Portmanteau,C,C
7,3,Best Portmanteau,C,C
7,4,Best Portmanteau,C,C
7,5,Best Portmanteau,C,C
7,6,Funniest,C,E
7,7,Funniest,C,O
7,8,Funniest,C,E
7,9,Funniest,C,O
7,10,Funniest,C,E
8,1,Best Portmanteau,P,E
8,2,Best Portmanteau,P,O
8,3,Best Portmanteau,C,C
8,4,Best Portmanteau,P,C
8,5,Best Portmanteau,P,E
8,6,Funniest,P,O
8,7,Funniest,C,O
8,8,Funniest,C,C
8,9,Funniest,P,O
8,10,Funniest,P,C
9,1,Best Portmanteau,C,E
9,2,Best Portmanteau,P,C
9,3,Best Portmanteau,P,C
9,4,Best Portmanteau,P,E
9,5,Best Portmanteau,C,C
9,6,Funniest,C,E
9,7,Funniest,P,C
9,8,Funniest,P,E
9,9,Funniest,P,E
9,10,Funniest,C,O
10,1,Best Portmanteau,C,C
10,2,Best Portmanteau,P,O
10,3,Best Portmanteau,P,C
10,4,Best Portmanteau,P,O
10,5,Best Portmanteau,P,O
10,6,Funniest,C,E
10,7,Funniest,P,E
10,8,Funniest,P,C
10,9,Funniest,C,E
10,10,Funniest,C,C
11,1,Best Portmanteau,C,C
11,2,Best Portmanteau,C,O
11,3,Best Portmanteau,C,C
11,4,Best Portmanteau,P,E
11,5,Best Portmanteau,C,C
11,6,Funniest,C,O
11,7,Funniest,P,E
11,8,Funniest,C,C
11,9,Funniest,P,E
11,10,Funniest,P,O
12,1,Best Portmanteau,P,O
12,2,Best Portmanteau,C,C
12,3,Best Portmanteau,P,C
12,4,Best Portmanteau,P,O
12,5,Best Portmanteau,C,O
12,6,Funniest,C,E
12,7,Funniest,P,C
12,8,Funniest,C,C
12,9,Funniest,C,C
12,10,Funniest,C,C
13,1,Best Portmanteau,C,C
13,2,Best Portmanteau,P,C
13,3,Best Portmanteau,P,O
13,4,Best Portmanteau,P,E
13,5,Best Portmanteau,C,C
13,6,Funniest,C,C
13,7,Funniest,C,C
13,8,Funniest,P,O
13,9,Funniest,P,E
13,10,Funniest,C,C
14,1,Best Portmanteau,C,C
14,2,Best Portmanteau,C,E
14,3,Best Portmanteau,C,O
14,4,Best Portmanteau,C,C
14,5,Best Portmanteau,P,O
14,6,Funniest,P,E
14,7,Funniest,C,E
14,8,Funniest,P,E
14,9,Funniest,C,E
14,10,Funniest,C,O
15,1,Best Portmanteau,C,E
15,2,Best Portmanteau,P,E
15,3,Best Portmanteau,P,E
15,4,Best Portmanteau,C,C
15,5,Best Portmanteau,P,O
15,6,Funniest,C,E
15,7,Funniest,C,E
15,8,Funniest,C,E
15,9,Funniest,C,E
15,10,Funniest,C,O
16,1,Best Portmanteau,P,E
16,2,Best Portmanteau,C,C
16,3,Best Portmanteau,C,C
16,4,Best Portmanteau,C,C
16,5,Best Portmanteau,C,E
16,6,Funniest,P,O
16,7,Funniest,C,C
16,8,Funniest,C,E
16,9,Funniest,P,C
16,10,Funniest,P,C
17,1,Best Portmanteau,C,O
17,2,Best Portmanteau,C,O
17,3,Best Portmanteau,C,O
17,4,Best Portmanteau,C,O
17,5,Best Portmanteau,P,O
17,6,Funniest,C,C
17,7,Funniest,P,C
17,8,Funniest,P,C
17,9,Funniest,P,O
17,10,Funniest,P,O
18,1,Best Portmanteau,C,O
18,2,Best Portmanteau,P,E
18,3,Best Portmanteau,C,O
18,4,Best Portmanteau,C,E
18,5,Best Portmanteau,P,O
18,6,Funniest,P,E
18,7,Funniest,C,O
18,8,Funniest,P,C
18,9,Funniest,C,C
18,10,Funniest,C,C
19,1,Best Portmanteau,P,O
19,2,Best Portmanteau,C,E
19,3,Best Portmanteau,P,O
19,4,Best Portmanteau,P,C
19,5,Best Portmanteau,P,E
19,6,Funniest,C,E
19,7,Funniest,P,O
19,8,Funniest,P,E
19,9,Funniest,P,O
